,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
59,2025,SE,FT,Manager,160380,USD,160380,US,0,US,M
60,2025,SE,FT,Manager,123930,USD,123930,US,0,US,M
61,2025,SE,FT,Solutions Engineer,170000,USD,170000,US,0,US,M
64,2025,SE,FT,Solutions Engineer,110000,USD,110000,US,0,US,M
65,2025,SE,FT,Data Scientist,258000,USD,258000,US,0,US,M
69,2025,SE,FT,Manager,222600,USD,222600,US,0,US,M
70,2025,SE,FT,Manager,106400,USD,106400,US,0,US,M
71,2025,MI,CT,Software Engineer,162000,USD,162000,US,0,US,M
77,2025,SE,FT,Research Scientist,202000,USD,202000,US,0,US,M
80,2025,EN,PT,Analyst,115240,USD,115240,AU,0,AU,M
81,2025,SE,FT,Software Engineer,160000,USD,160000,US,0,US,M
83,2025,SE,FT,Software Architect,233450,USD,233450,US,0,US,M
85,2025,MI,FT,Associate,100000,USD,100000,US,0,US,M
87,2025,EN,FT,Data Management Analyst,73116,USD,73116,US,0,US,M
90,2025,SE,FT,Research Scientist,122774,USD,122774,US,0,US,M
93,2025,MI,FT,Data Engineer,124000,USD,124000,US,0,US,M
95,2025,SE,FT,Data Analyst,120000,USD,120000,US,0,US,M
97,2025,SE,FT,Data Analyst,122000,USD,122000,US,0,US,M
98,2025,SE,FT,Data Analyst,78000,USD,78000,US,0,US,M
105,2025,SE,FT,Applied Scientist,258000,USD,258000,US,0,US,M
109,2025,SE,FT,Director,309500,USD,309500,US,0,US,M
112,2025,MI,FT,Manager,92100,USD,92100,US,0,US,M
115,2025,MI,FT,Manager,39000,EUR,41052,ES,0,ES,M
118,2025,SE,FT,Analyst,127310,USD,127310,US,0,US,M
122,2025,SE,FT,Data Engineer,135000,USD,135000,US,0,US,M
123,2025,SE,FT,Data Engineer,280500,USD,280500,US,0,US,M
125,2025,MI,FT,Data Engineer,203000,USD,203000,US,0,US,M
126,2025,MI,FT,Data Engineer,123000,USD,123000,US,0,US,M
128,2025,MI,FT,Data Engineer,106300,USD,106300,US,0,US,M
131,2025,MI,FT,Data Scientist,117000,USD,117000,US,0,US,M
134,2025,SE,FT,Data Analyst,68700,USD,68700,US,100,US,M
135,2025,SE,FT,Data Analyst,123700,USD,123700,US,100,US,M
136,2025,SE,FT,Data Analyst,68700,USD,68700,US,100,US,M
138,2025,MI,FT,Data Analyst,75500,USD,75500,US,0,US,M
139,2025,SE,FT,Data Engineer,135000,USD,135000,US,100,US,M
140,2025,SE,FT,Data Engineer,101250,USD,101250,US,100,US,M
141,2025,EN,FT,Data Analyst,19956,EUR,21006,FR,0,FR,M
144,2025,MI,FT,Data Specialist,96720,USD,96720,US,0,US,M
145,2025,SE,FT,Consultant,217200,USD,217200,US,0,US,M
146,2025,SE,FT,Consultant,111100,USD,111100,US,0,US,M
152,2025,MI,FT,Manager,162000,USD,162000,US,0,US,M
156,2025,SE,FT,Architect,85150,USD,85150,US,100,US,M
157,2025,MI,FT,Engineer,106200,USD,106200,US,0,US,M
159,2025,MI,FT,Engineer,176000,USD,176000,US,0,US,M
160,2025,MI,FT,Engineer,128000,USD,128000,US,0,US,M
161,2025,SE,FT,Software Engineer,248594,USD,248594,US,0,US,M
162,2025,SE,FT,Software Engineer,177567,USD,177567,US,0,US,M
164,2025,SE,FT,Data Analyst,54500,USD,54500,CA,0,CA,M
166,2025,MI,FT,Data Analytics Manager,105000,USD,105000,US,0,US,M
167,2025,SE,FT,Principal Statistical Programmer,273200,USD,273200,US,0,US,M
169,2025,MI,FT,Associate,235300,USD,235300,US,0,US,M
171,2025,MI,FT,Associate,245985,USD,245985,US,100,US,M
172,2025,MI,FT,Associate,164530,USD,164530,US,100,US,M
176,2025,SE,FT,Analyst,80849,USD,80849,US,100,US,M
180,2025,MI,FT,Manager,68000,USD,68000,CA,0,CA,M
183,2025,SE,FT,Manager,222600,USD,222600,US,0,US,M
191,2025,MI,FT,Manager,119875,USD,119875,CA,0,CA,M
195,2025,SE,FT,Engineer,169050,USD,169050,US,0,US,M
196,2025,SE,FT,Engineer,124950,USD,124950,US,0,US,M
199,2025,SE,FT,Data Architect,163116,USD,163116,US,0,US,M
200,2025,SE,FT,Data Architect,97870,USD,97870,US,0,US,M
203,2025,EN,FT,Data Analyst,141000,USD,141000,US,0,US,M
204,2025,EN,FT,Data Analyst,61900,USD,61900,US,0,US,M
205,2025,SE,FT,Engineer,286300,USD,286300,US,0,US,M
207,2025,SE,FT,Product Owner,212333,USD,212333,US,0,US,M
208,2025,SE,FT,Product Owner,147000,USD,147000,US,0,US,M
213,2025,MI,FT,Data Scientist,121956,USD,121956,US,0,US,M
214,2025,MI,FT,Data Scientist,93974,USD,93974,US,0,US,M
215,2025,MI,FT,Data Scientist,98817,USD,98817,US,0,US,M
216,2025,MI,FT,Data Scientist,74113,USD,74113,US,0,US,M
222,2025,MI,FT,Data Engineer,74000,USD,74000,US,0,US,M
224,2025,MI,FT,Software Engineer,69999,USD,69999,US,0,US,M
227,2025,SE,FT,Data Engineer,125000,USD,125000,US,0,US,M
231,2025,MI,FT,Manager,118700,USD,118700,US,0,US,M
232,2025,MI,FT,Manager,79100,USD,79100,US,0,US,M
233,2025,SE,FT,Product Manager,233000,USD,233000,US,0,US,M
235,2025,EX,FT,Executive,122634,USD,122634,US,0,US,M
237,2025,EN,FT,Analyst,100500,USD,100500,US,0,US,M
239,2025,SE,FT,Analyst,122600,USD,122600,US,0,US,M
240,2025,SE,FT,Analyst,73000,USD,73000,US,0,US,M
242,2025,SE,FT,Architect,65000,EUR,68421,FR,0,FR,M
243,2025,MI,FT,Analyst,176000,USD,176000,US,0,US,M
246,2025,SE,FT,Business Intelligence Engineer,97400,USD,97400,US,0,US,L
247,2025,SE,FT,Data Governance Lead,165000,USD,165000,US,0,US,M
248,2025,SE,FT,Data Governance Lead,120000,USD,120000,US,0,US,M
249,2025,MI,FT,Data Governance Specialist,206300,USD,206300,US,0,US,M
250,2025,MI,FT,Data Governance Specialist,100600,USD,100600,US,0,US,M
255,2025,MI,FT,Data Analyst,125000,USD,125000,US,0,US,M
257,2025,SE,FT,Data Analyst,115000,USD,115000,US,0,US,M
260,2025,SE,FT,Data Engineer,80700,USD,80700,US,0,US,L
263,2025,SE,FT,Solutions Architect,307400,USD,307400,US,0,US,M
268,2025,MI,FT,AI Researcher,180000,USD,180000,US,100,US,M
272,2025,MI,FT,Machine Learning Engineer,129300,USD,129300,US,0,US,L
273,2025,SE,FT,Bear Robotics,262000,USD,262000,US,0,US,M
279,2025,MI,FT,Research Engineer,250000,USD,250000,US,0,US,M
280,2025,MI,FT,Research Engineer,180000,USD,180000,US,0,US,M
281,2025,SE,FT,Product Designer,258400,USD,258400,US,100,US,M
283,2025,MI,FT,Researcher,104000,USD,104000,CA,0,CA,M
284,2025,MI,FT,Researcher,88000,USD,88000,CA,0,CA,M
289,2025,MI,FT,Software Engineer,165282,USD,165282,US,0,US,M
290,2025,MI,FT,Software Engineer,102756,USD,102756,US,0,US,M
292,2025,SE,FT,Engineer,128119,USD,128119,US,0,US,M
294,2025,MI,FT,Engineer,90000,USD,90000,US,0,US,M
298,2025,MI,FT,Engineer,90000,USD,90000,US,0,US,M
302,2025,MI,FT,Solution Engineer,130000,USD,130000,US,0,US,M
303,2025,SE,FT,Software Engineer,154000,USD,154000,US,0,US,M
304,2025,SE,FT,Software Engineer,110000,USD,110000,US,0,US,M
307,2025,SE,FT,Product Analyst,207000,USD,207000,US,100,US,M
310,2025,MI,FT,Engineer,81000,USD,81000,US,0,US,M
311,2025,MI,FT,Research Engineer,405000,USD,405000,US,0,US,M
312,2025,MI,FT,Research Engineer,300000,USD,300000,US,0,US,M
313,2025,SE,FT,Full Stack Engineer,220000,USD,220000,US,100,US,M
314,2025,SE,FT,Full Stack Engineer,170000,USD,170000,US,100,US,M
315,2025,MI,FT,Full Stack Engineer,190000,USD,190000,US,100,US,M
316,2025,MI,FT,Full Stack Engineer,130000,USD,130000,US,100,US,M
317,2025,SE,FT,Backend Engineer,220000,USD,220000,US,100,US,M
318,2025,SE,FT,Backend Engineer,170000,USD,170000,US,100,US,M
322,2025,SE,FT,Software Engineer,170800,USD,170800,US,100,US,M
323,2025,SE,FT,Sales Engineer,180000,USD,180000,US,0,US,M
325,2025,MI,FT,Engineer,165600,USD,165600,US,0,US,L
326,2025,MI,FT,Engineer,74100,USD,74100,US,0,US,L
330,2025,SE,FT,Platform Engineer,240000,USD,240000,US,0,US,M
332,2025,SE,FT,Platform Engineer,217000,USD,217000,US,0,US,M
338,2025,MI,FT,Software Engineer,205000,USD,205000,US,0,US,M
339,2025,MI,FT,Software Engineer,145000,USD,145000,US,0,US,M
340,2025,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M
342,2025,SE,FT,Engineer,252000,USD,252000,US,0,US,M
344,2025,SE,FT,Data Scientist,161250,USD,161250,US,100,US,M
347,2025,SE,FT,Manager,176924,USD,176924,US,100,US,M
348,2025,SE,FT,Machine Learning Engineer,342000,USD,342000,US,100,US,M
349,2025,SE,FT,Machine Learning Engineer,239000,USD,239000,US,100,US,M
350,2025,SE,FT,Machine Learning Engineer,195000,USD,195000,US,0,US,M
351,2025,SE,FT,Machine Learning Engineer,150000,USD,150000,US,0,US,M
354,2025,EN,FT,Data Analyst,94000,USD,94000,US,0,US,M
358,2025,EN,FT,Data Analyst,153200,USD,153200,US,0,US,M
361,2025,SE,FT,Product Manager,130500,USD,130500,US,0,US,M
362,2025,SE,FT,Analytics Engineer,261000,USD,261000,US,0,US,M
363,2025,SE,FT,Analytics Engineer,174000,USD,174000,US,0,US,M
367,2025,SE,FT,Engineering Manager,225029,USD,225029,US,100,US,M
368,2025,SE,FT,Research Scientist,220000,USD,220000,US,100,US,M
369,2025,SE,FT,Research Scientist,170000,USD,170000,US,100,US,M
370,2025,SE,FT,Data Architect,185000,USD,185000,US,100,US,M
371,2025,SE,FT,Data Architect,140000,USD,140000,US,100,US,M
374,2025,MI,FT,Analytics Engineer,900000,PHP,15347,PH,100,PH,M
379,2025,SE,FT,Director,190000,USD,190000,US,0,US,M
387,2025,SE,FT,Data Scientist,186000,USD,186000,US,0,US,M
388,2025,SE,FT,Data Scientist,149000,USD,149000,US,0,US,M
390,2025,SE,FT,Data Scientist,149000,USD,149000,US,0,US,M
391,2025,SE,FT,Data Scientist,155000,USD,155000,US,100,US,M
395,2025,SE,FT,Data Engineer,254500,USD,254500,US,0,US,M
396,2025,SE,FT,Data Engineer,139500,USD,139500,US,0,US,M
398,2025,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M
400,2025,MI,FT,Data Engineer,92352,USD,92352,US,100,US,M
403,2025,MI,FT,Data Engineer,113000,USD,113000,CA,0,CA,M
404,2025,MI,FT,Data Engineer,90488,USD,90488,CA,0,CA,M
405,2025,SE,FT,Systems Administrator,230000,USD,230000,US,0,US,M
409,2025,MI,FT,Solution Engineer,126880,USD,126880,US,0,US,M
411,2025,MI,FT,Solution Engineer,126880,USD,126880,US,0,US,M
413,2025,MI,FT,Solution Engineer,126880,USD,126880,US,0,US,M
415,2025,MI,FT,Solution Engineer,126880,USD,126880,US,0,US,M
416,2025,MI,FT,Solution Engineer,76960,USD,76960,US,0,US,M
418,2025,MI,FT,Solution Engineer,76960,USD,76960,US,0,US,M
419,2025,MI,FT,Solution Engineer,126880,USD,126880,US,0,US,M
420,2025,MI,FT,Solution Engineer,76960,USD,76960,US,0,US,M
425,2025,SE,FT,Analyst,78000,GBP,98734,GB,0,GB,M
426,2025,SE,FT,Analyst,68000,GBP,86075,GB,0,GB,M
427,2025,SE,FT,Analyst,78000,GBP,98734,GB,0,GB,M
428,2025,SE,FT,Analyst,68000,GBP,86075,GB,0,GB,M
429,2025,SE,FT,Director,230000,USD,230000,US,0,US,M
430,2025,SE,FT,Director,200000,USD,200000,US,0,US,M
432,2025,MI,FT,Manager,118400,USD,118400,US,0,US,M
433,2025,MI,FT,Engineer,184100,USD,184100,US,0,US,M
438,2025,SE,FT,Product Manager,198000,USD,198000,US,0,US,M
440,2025,SE,FT,Analyst,64000,USD,64000,US,0,US,M
441,2025,SE,FT,Manager,174500,USD,174500,US,100,US,M
445,2025,SE,FT,Engineer,175000,USD,175000,US,0,US,M
446,2025,SE,FT,Engineer,125000,USD,125000,US,0,US,M
447,2025,SE,FT,Engineer,190000,USD,190000,US,0,US,M
448,2025,SE,FT,Engineer,150000,USD,150000,US,0,US,M
449,2025,SE,FT,Manager,201825,USD,201825,US,0,US,M
450,2025,SE,FT,Manager,175500,USD,175500,US,0,US,M
453,2025,MI,FT,Software Engineer,150000,USD,150000,US,100,US,M
454,2025,MI,FT,Software Engineer,125000,USD,125000,US,100,US,M
455,2025,MI,FT,Engineer,133786,USD,133786,US,0,US,M
457,2025,MI,FT,Engineer,125000,USD,125000,US,0,US,M
458,2025,MI,FT,Engineer,88561,USD,88561,US,0,US,M
459,2025,SE,FT,Product Manager,250000,USD,250000,US,100,US,M
460,2025,SE,FT,Product Manager,175000,USD,175000,US,100,US,M
463,2025,MI,FT,Software Engineer,91840,USD,91840,US,0,US,M
464,2025,MI,FT,Software Engineer,80300,USD,80300,US,0,US,M
466,2025,SE,FT,Solutions Engineer,152000,USD,152000,US,100,US,M
469,2025,SE,FT,Data Platform Engineer,180000,USD,180000,US,0,US,M
470,2025,SE,FT,Data Platform Engineer,140000,USD,140000,US,0,US,M
472,2025,SE,FT,Engineer,115000,USD,115000,US,100,US,M
473,2025,EN,FT,Business Analyst,137363,USD,137363,US,0,US,M
479,2025,MI,FT,Manager,225000,USD,225000,US,0,US,M
483,2025,MI,FT,Software Engineer,240000,USD,240000,US,0,US,M
484,2025,MI,FT,Software Engineer,168000,USD,168000,US,0,US,M
485,2025,SE,FT,Software Engineer,178500,USD,178500,US,0,US,M
487,2025,SE,FT,Software Engineer,207000,USD,207000,US,0,US,M
488,2025,SE,FT,Software Engineer,138000,USD,138000,US,0,US,M
492,2025,SE,FT,Software Engineer,168000,USD,168000,US,0,US,M
496,2025,MI,FT,Software Engineer,138000,USD,138000,US,0,US,M
497,2025,SE,FT,Software Engineer,214200,USD,214200,US,0,US,M
499,2025,SE,FT,Software Engineer,252000,USD,252000,US,0,US,M
505,2025,SE,FT,Solution Engineer,272300,USD,272300,US,0,US,M
510,2025,MI,FT,Software Engineer,185644,USD,185644,US,0,US,M
512,2025,SE,FT,Software Engineer,221537,USD,221537,US,0,US,M
514,2025,MI,FT,Machine Learning Engineer,100000,USD,100000,US,0,US,M
517,2025,SE,FT,Data Engineer,235400,USD,235400,US,0,US,M
521,2025,SE,FT,Data Engineer,215000,USD,215000,US,100,US,M
522,2025,SE,FT,Data Engineer,166000,USD,166000,US,100,US,M
526,2025,SE,FT,Data Engineer,158600,USD,158600,US,0,US,M
527,2025,SE,FT,Data Engineer,181000,USD,181000,US,0,US,M
529,2025,EN,FT,Data Operations Analyst,78920,USD,78920,US,100,US,M
531,2025,SE,FT,Architect,202730,USD,202730,US,100,US,M
534,2025,SE,FT,MLOps Engineer,128000,USD,128000,CA,100,CA,M
539,2025,MI,FT,Data Analyst,48000,USD,48000,US,0,US,M
540,2025,MI,FT,Data Analyst,48000,USD,48000,US,0,US,M
543,2025,MI,FT,Data Analyst,70000,USD,70000,US,0,US,M
545,2025,SE,FT,Data Analyst,110000,USD,110000,US,0,US,M
548,2025,SE,FT,Data Analyst,78000,USD,78000,US,0,US,M
551,2025,MI,FT,Data Scientist,196900,USD,196900,US,0,US,M
552,2025,MI,FT,Data Scientist,193482,USD,193482,US,0,US,M
553,2025,SE,FT,Data Scientist,196900,USD,196900,US,100,US,M
554,2025,SE,FT,Data Scientist,189953,USD,189953,US,100,US,M
555,2025,MI,FT,Data Scientist,115498,USD,115498,US,0,US,M
556,2025,MI,FT,Data Scientist,80766,USD,80766,US,0,US,M
557,2025,SE,FT,Data Scientist,155000,USD,155000,US,0,US,M
558,2025,SE,FT,Data Scientist,58844,USD,58844,US,0,US,M
560,2025,SE,FT,Data Scientist,110000,USD,110000,US,0,US,M
561,2025,SE,FT,Software Engineer,140900,USD,140900,US,0,US,M
562,2025,SE,FT,Software Engineer,119765,USD,119765,US,0,US,M
563,2025,SE,FT,Data Scientist,122400,USD,122400,US,0,US,M
564,2025,SE,FT,Data Scientist,59795,USD,59795,US,0,US,M
566,2025,SE,FT,Data Scientist,167250,USD,167250,US,100,US,M
567,2025,MI,FT,Data Scientist,220700,USD,220700,US,0,US,M
568,2025,MI,FT,Data Scientist,193400,USD,193400,US,0,US,M
576,2025,SE,FT,Software Engineer,211000,USD,211000,US,0,US,M
577,2025,SE,FT,Software Engineer,280600,USD,280600,US,0,US,M
578,2025,SE,FT,Software Engineer,245900,USD,245900,US,0,US,M
579,2025,MI,FT,Research Scientist,200200,USD,200200,US,0,US,M
581,2025,MI,FT,Manager,125026,USD,125026,CA,0,CA,M
582,2025,MI,FT,Manager,108493,USD,108493,CA,0,CA,M
583,2025,SE,FT,Engineer,155000,USD,155000,US,100,US,M
584,2025,SE,FT,Engineer,145000,USD,145000,US,100,US,M
586,2025,MI,FT,Engineer,117000,USD,117000,US,0,US,M
588,2025,SE,FT,Analyst,101287,USD,101287,NZ,0,NZ,M
589,2025,MI,FT,Software Engineer,155250,USD,155250,US,0,US,M
590,2025,MI,FT,Software Engineer,114750,USD,114750,US,0,US,M
592,2025,MI,FT,Engineer,121800,USD,121800,CA,0,CA,M
593,2025,SE,FT,Software Engineer,223400,USD,223400,US,0,US,M
595,2025,SE,FT,Software Engineer,178100,USD,178100,US,0,US,M
596,2025,SE,FT,Software Engineer,79800,USD,79800,US,0,US,M
597,2025,SE,FT,Machine Learning Engineer,230000,USD,230000,US,0,US,M
599,2025,MI,FT,Software Engineer,240240,USD,240240,US,0,US,M
601,2025,SE,FT,Software Engineer,240240,USD,240240,US,0,US,M
608,2025,SE,FT,Engineer,239900,USD,239900,US,0,US,M
616,2025,SE,FT,Data Analyst,76500,USD,76500,US,100,US,M
617,2025,EN,FT,Data Analyst,144000,USD,144000,US,100,US,M
620,2025,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
621,2025,EN,FT,Data Analyst,90200,USD,90200,CA,0,CA,M
623,2025,SE,FT,Data Engineer,230160,USD,230160,US,0,US,M
624,2025,SE,FT,Data Engineer,153440,USD,153440,US,0,US,M
625,2025,SE,FT,Data Engineer,124200,USD,124200,US,100,US,M
627,2025,SE,FT,Data Scientist,180000,USD,180000,US,100,US,M
631,2025,EN,FT,Data Management Analyst,170300,USD,170300,US,0,US,M
633,2025,SE,FT,Software Engineer,328300,USD,328300,US,0,US,M
637,2025,SE,FT,Engineer,150000,USD,150000,US,0,US,M
639,2025,SE,FT,Engineer,224400,USD,224400,US,0,US,M
640,2025,SE,FT,Engineer,149600,USD,149600,US,0,US,M
642,2025,SE,FT,Analyst,114080,USD,114080,US,0,US,M
647,2025,EN,FT,Engineer,140645,USD,140645,US,0,US,M
649,2025,EN,FT,Data Analyst,99000,USD,99000,US,100,US,M
654,2025,SE,FT,Data Scientist,113015,USD,113015,US,0,US,M
656,2025,SE,FT,Software Engineer,98500,USD,98500,US,0,US,M
657,2025,MI,FT,Consultant,91800,USD,91800,US,100,US,M
658,2025,MI,FT,Consultant,73400,USD,73400,US,100,US,M
659,2025,EN,FT,Analyst,160000,USD,160000,US,0,US,M
660,2025,EN,FT,Analyst,90000,USD,90000,US,0,US,M
661,2025,SE,FT,Engineer,155700,USD,155700,US,0,US,M
663,2025,MI,FT,Data Engineer,138000,USD,138000,DE,0,DE,M
667,2025,SE,FT,Data Governance Manager,187800,USD,187800,US,0,US,M
668,2025,SE,FT,Data Governance Manager,125200,USD,125200,US,0,US,M
678,2025,SE,FT,AI Engineer,146650,USD,146650,US,0,US,M
682,2025,SE,FT,Data Analyst,70720,USD,70720,US,0,US,M
683,2025,SE,FT,Engineer,255000,USD,255000,US,0,US,M
684,2025,SE,FT,Engineer,205000,USD,205000,US,0,US,M
685,2025,SE,FT,Machine Learning Scientist,323950,USD,323950,US,0,US,M
687,2025,MI,FT,Engineer,213480,USD,213480,US,0,US,M
688,2025,MI,FT,Engineer,142320,USD,142320,US,0,US,M
689,2025,SE,PT,Software Engineer,172500,USD,172500,US,0,US,M
693,2025,SE,FT,Product Manager,291500,USD,291500,US,0,US,M
699,2025,EN,FT,Analyst,100000,USD,100000,US,0,US,M
701,2025,MI,FT,Data Engineer,90000,USD,90000,US,0,US,M
702,2025,MI,FT,Data Engineer,78050,USD,78050,US,0,US,M
703,2025,MI,FT,Engineer,176000,USD,176000,US,0,US,M
709,2025,SE,FT,Machine Learning Engineer,269400,USD,269400,US,100,US,M
710,2025,SE,FT,Machine Learning Engineer,168600,USD,168600,US,100,US,M
713,2025,MI,FT,Data Scientist,188760,USD,188760,US,0,US,M
716,2025,SE,FT,Software Engineer,114750,USD,114750,US,0,US,M
718,2025,MI,FT,Manager,132600,USD,132600,US,0,US,M
719,2025,SE,FT,Software Engineer,172500,USD,172500,US,0,US,M
720,2025,SE,FT,Software Engineer,107100,USD,107100,US,0,US,M
724,2025,SE,FT,Data Engineer,92400,USD,92400,CA,0,CA,M
725,2025,SE,FT,Software Engineer,252100,USD,252100,US,0,US,M
726,2025,SE,FT,Software Engineer,114600,USD,114600,US,0,US,M
734,2025,EN,FT,Data Scientist,36000,EUR,37894,NL,0,NL,M
737,2025,SE,FT,Machine Learning Engineer,190000,USD,190000,CA,0,CA,M
740,2025,SE,FT,Machine Learning Scientist,150000,USD,150000,CA,0,CA,M
741,2025,MI,FT,Product Owner,143892,USD,143892,US,0,US,M
743,2025,MI,FT,Associate,120000,USD,120000,CA,0,CA,M
744,2025,MI,FT,Associate,110000,USD,110000,CA,0,CA,M
749,2025,SE,FT,Solution Architect,207000,USD,207000,US,0,US,M
750,2025,SE,FT,Solution Architect,126000,USD,126000,US,0,US,M
751,2025,SE,FT,Engineer,212800,USD,212800,US,0,US,L
752,2025,SE,FT,Engineer,128600,USD,128600,US,0,US,L
754,2025,MI,FT,Applied Scientist,136000,USD,136000,US,0,US,L
755,2025,SE,FT,Data Scientist,160000,USD,160000,CA,100,CA,M
757,2025,SE,FT,Data Scientist,203000,USD,203000,US,0,US,M
758,2025,SE,FT,Data Scientist,169000,USD,169000,US,0,US,M
760,2025,SE,FT,Analytics Engineer,115000,USD,115000,US,0,US,M
761,2025,MI,FT,Data Engineer,180000,USD,180000,US,0,US,M
764,2025,MI,FT,Data Engineer,86000,USD,86000,US,0,US,M
765,2025,MI,FT,Associate,260050,USD,260050,US,0,US,M
767,2025,MI,FT,Engineer,48000,EUR,50526,LV,0,LV,M
768,2025,MI,FT,Engineer,26400,EUR,27789,LV,0,LV,M
769,2025,SE,FT,Analyst,85000,USD,85000,US,0,US,M
773,2025,SE,FT,Software Engineer,187000,USD,187000,US,100,US,M
774,2025,SE,FT,Software Engineer,119000,USD,119000,US,100,US,M
775,2025,SE,FT,Analyst,129000,USD,129000,US,100,US,M
776,2025,SE,FT,Analyst,86400,USD,86400,US,100,US,M
777,2025,MI,FT,Manager,271000,USD,271000,US,0,US,M
778,2025,MI,FT,Manager,183000,USD,183000,US,0,US,M
782,2025,SE,FT,Software Engineer,175000,USD,175000,US,0,US,M
783,2025,SE,FT,Software Engineer,275000,USD,275000,US,0,US,M
784,2025,SE,FT,Software Engineer,175000,USD,175000,US,0,US,M
785,2025,SE,FT,Data Lead,460000,USD,460000,US,0,US,M
788,2025,SE,FT,Software Engineer,126090,USD,126090,US,0,US,M
789,2025,SE,FT,Software Engineer,205000,USD,205000,US,0,US,M
790,2025,SE,FT,Software Engineer,190000,USD,190000,US,0,US,M
792,2025,SE,FT,Engineer,193800,USD,193800,US,0,US,M
796,2025,SE,FT,Manager,90000,USD,90000,US,0,US,M
798,2025,SE,PT,Data Architect,114600,USD,114600,US,100,US,M
799,2025,SE,FT,Data Architect,190000,USD,190000,US,0,US,M
800,2025,SE,FT,Data Architect,110000,USD,110000,US,0,US,M
801,2025,SE,FT,Data Architect,146200,USD,146200,CA,0,CA,M
803,2025,SE,FT,Engineer,190000,USD,190000,US,0,US,M
804,2025,SE,FT,Engineer,110000,USD,110000,US,0,US,M
805,2025,SE,FT,Business Intelligence Engineer,205000,USD,205000,US,0,US,M
807,2025,MI,FT,Software Engineer,160000,USD,160000,US,0,US,M
811,2025,SE,FT,Data Engineer,149076,USD,149076,US,0,US,M
816,2025,SE,FT,Data Engineer,53500,USD,53500,US,0,US,M
817,2025,EN,FT,Data Engineer,145100,USD,145100,US,0,US,M
818,2025,EN,FT,Data Engineer,79601,USD,79601,US,0,US,M
822,2025,MI,FT,Analytics Engineer,110000,USD,110000,US,100,US,M
823,2025,SE,FT,Data Scientist,264801,USD,264801,US,100,US,M
824,2025,SE,FT,Data Scientist,176534,USD,176534,US,100,US,M
826,2025,SE,FT,Data Scientist,135000,USD,135000,US,0,US,M
830,2025,SE,FT,Data Scientist,167600,USD,167600,US,100,US,M
831,2025,SE,FT,Data Scientist,114000,EUR,120000,IE,0,IE,M
832,2025,SE,FT,Data Scientist,76000,EUR,80000,IE,0,IE,M
834,2025,SE,FT,Data Scientist,140000,USD,140000,US,0,US,M
835,2025,MI,FT,Data Scientist,140000,USD,140000,US,100,US,M
836,2025,MI,FT,Data Scientist,115000,USD,115000,US,100,US,M
837,2025,MI,FT,Manager,51021,USD,51021,US,0,US,M
838,2025,MI,FT,Manager,51021,USD,51021,US,0,US,M
841,2025,MI,FT,Machine Learning Scientist,218700,USD,218700,US,0,US,M
843,2025,EN,FT,Data Analyst,150000,USD,150000,US,0,US,M
844,2025,EN,FT,Data Analyst,120000,USD,120000,US,0,US,M
